,Price,Area,Location,No. of Bedrooms
4233,16500000,780,Other,1
4236,6900000,685,Other,1
4237,5300000,675,Other,1
4238,10800000,560,Other,1
4239,8000000,550,Other,1
4240,4100000,530,Other,1
4242,3000000,525,Other,1
4243,5400000,500,Other,1
4244,5300000,675,Other,1
4245,10800000,560,Other,1
4246,8000000,550,Other,1
4247,4100000,530,Other,1
4249,3000000,525,Other,1
4250,3300000,500,Other,1
4251,4500000,530,Other,1
4252,20500000,1150,Other,3
4253,7300000,383,Other,1
4254,20500000,640,Other,2
4256,15800000,770,Other,1
4260,8800000,662,Other,2
4262,20500000,685,Other,1
4263,14500000,1155,Other,3
4266,17000000,642,Other,1
4268,11500000,495,Other,1
4269,25000000,800,Other,1
4273,6800000,625,Other,1
4274,6000000,680,Other,1
4276,60000000,4200,Other,5
4278,55000000,2500,Other,7
4283,3300000,3500,Other,7
4284,80000000,3200,Other,5
4285,60000000,4200,Other,5
4287,13500000,650,Other,1
4292,13500000,650,Other,1
4297,14500000,1220,Other,2
4298,13899999,620,Other,1
4302,35500000,1475,Other,3
4310,18500000,1065,Other,2
4311,28500000,1130,Other,3
4313,28500000,1065,Other,2
4315,52500000,3168,Other,5
4318,8100000,670,Other,2
4321,18000000,550,Other,1
4322,5100000,500,Other,1
4323,2600000,427,Other,1
4330,3500000,690,Other,1
4331,7053000,670,Other,1
4333,11500000,725,Other,1
4336,3500000,482,Other,1
4337,11500000,670,Other,1
4340,8000000,555,Other,1
4342,3900000,650,Other,1
4343,19000000,1171,Other,2
4346,7800000,545,Other,1
4347,13000000,980,Other,2
4348,4300000,550,Other,1
4349,7800000,550,Other,1
4350,7800000,550,Other,1
4351,5700000,545,Other,1
4354,19500000,1200,Other,2
4355,17000000,1400,Other,3
4358,16000000,600,Other,1
4359,18000000,1250,Other,3
4360,14900000,1010,Other,2
4361,26000000,1000,Other,2
4363,12000000,700,Other,1
4364,18000000,700,Other,1
4365,29000000,2453,Other,4
4367,19500000,1200,Other,2
4368,20000000,1400,Other,3
4371,11000000,833,Other,2
4372,6800000,625,Other,1
4373,11000000,833,Other,2
4374,6800000,625,Other,1
4375,16500000,675,Other,1
4378,32500000,1680,Other,2
4380,7000000,600,Other,1
4383,9497000,730,Other,1
4385,7998000,600,Other,1
4389,7998000,600,Other,1
4392,9300000,570,Other,1
4394,10500000,860,Other,2
4395,12200000,570,Other,1
4397,7495999,570,Other,1
4401,22200000,764,Other,2
4403,4400000,405,Other,1
4404,7300000,400,Other,1
4406,6000000,560,Other,1
4407,15900000,550,Other,1
4410,35000000,1600,Other,3
4412,80000000,3300,Other,4
4413,4650000,480,Other,1
4415,12800000,750,Other,2
4416,22500000,1100,Other,2
4418,27000000,1600,Other,3
4424,9000000,630,Other,1
4427,7800000,650,Other,1
4429,2300000,650,Other,1
4431,15000000,1102,Other,2
4434,19000000,1100,Other,2
4437,22500000,1100,Other,2
4440,16500000,1014,Other,2
4442,13200000,980,Other,2
4443,15500000,525,Other,1
4444,2500000,350,Other,1
4445,2225000,310,Other,1
4446,24000000,760,Other,1
4448,7000000,693,Other,1
4449,14500000,627,Other,1
4450,19000000,1020,Other,2
4451,22500000,1290,Other,2
4452,36500000,1495,Other,3
4454,80000000,3313,Other,4
4455,42500000,2436,Other,3
4457,19000000,1000,Other,2
4458,15500000,1411,Other,1
4461,33800000,2800,Other,4
4463,6500000,750,Other,1
4466,5000000,650,Other,1
4468,4300000,675,Other,1
4470,3750000,690,Other,1
4471,4200000,650,Other,1
4472,2250000,450,Other,1
4474,17900000,1125,Other,2
4476,17900000,1125,Other,2
4477,9200000,600,Other,1
4479,8200000,480,Other,1
4481,16500000,1287,Other,3
4483,15500000,610,Other,1
4484,16000000,610,Other,1
4487,35000000,1095,Other,2
4488,7500000,650,Other,1
4489,19800000,860,Other,2
4491,17000000,950,Other,2
4494,17000000,950,Other,2
4497,3100000,700,Other,1
4498,2190000,610,Other,1
4499,9800000,650,Other,1
4503,34700000,1195,Other,3
4504,25200000,965,Other,3
4505,4150000,650,Other,1
4506,10000000,585,Other,1
4507,15500000,600,Other,1
4509,3300000,550,Other,1
4510,6500000,300,Other,1
4511,20900000,1096,Other,3
4512,2099000,650,Other,1
4513,6000000,882,Other,1
4515,46500000,2475,Other,4
4516,11000000,810,Other,2
4519,17000000,750,Other,1
4520,2100000,450,Other,1
4521,13500000,725,Other,1
4522,18000000,800,Other,1
4523,13899999,550,Other,1
4525,11800000,730,Other,1
4526,5500000,300,Other,1
4527,11000000,500,Other,1
4528,38000000,1820,Other,2
4529,5000000,390,Other,1
4531,5400000,513,Other,1
4532,43500000,2000,Other,3
4534,6000000,680,Other,1
4536,16500000,925,Other,2
4537,15900000,1100,Other,2
4538,4500000,640,Other,1
4539,33500000,1509,Other,3
4541,17100000,580,Other,2
4542,18900000,611,Other,2
4543,2075000,671,Other,1
4544,2000000,661,Other,1
4545,7600000,630,Other,1
4549,3300000,693,Other,1
4550,4950000,693,Other,1
4551,4500000,675,Other,1
4558,6666000,602,Other,1
4560,3200000,432,Other,1
4563,13000000,600,Other,1
4567,8200000,550,Other,1
4568,11000000,1050,Other,1
4569,20000000,1050,Other,1
4570,9300000,425,Other,1
4574,2900000,575,Other,1
4576,23500000,1100,Other,2
4577,26000000,1050,Other,2
4579,15000000,1125,Other,2
4580,23000000,1170,Other,3
4581,9000000,667,Other,2
4582,8400000,570,Other,1
4583,12500000,870,Other,2
4585,22500000,926,Other,2
4586,11500000,950,Other,2
4591,2300000,385,Other,1
4592,12000000,750,Other,2
4593,18000000,750,Other,2
4594,4999000,710,Other,1
4596,55000000,3000,Other,4
4597,5350000,695,Other,1
4599,9000000,650,Other,1
4601,10800000,940,Other,3
4604,4100000,700,Other,1
4605,2100000,770,Palghar,1
4606,2099000,569,Palghar,2
4607,3500000,387,Palghar,1
4608,4499000,646,Palghar,3
4609,14800000,967,Palghar,2
4610,4517000,589,Palghar,1
4611,4500000,589,Palghar,1
4612,7200000,835,Palghar,2
4613,6500000,832,Palghar,2
4614,9800000,846,Palghar,2
4615,2700000,570,Panvel,1
4616,2700000,570,Panvel,1
4619,2800000,525,Panvel,1
4621,5300000,687,Panvel,1
4623,8800000,640,Panvel,1
4625,16500000,1000,Panvel,2
4627,8100000,755,Panvel,1
4628,7600000,755,Panvel,1
4630,9200000,550,Panvel,1
4631,27500000,1300,Panvel,2
4632,7400000,665,Panvel,1
4633,9167000,654,Panvel,2
4634,9745000,686,Panvel,2
4635,10000000,732,Panvel,2
4636,8200000,762,Panvel,2
4637,11000000,608,Panvel,2
4638,9013000,837,Panvel,2
4639,12000000,682,Panvel,2
4640,10800000,931,Panvel,3
4644,16000000,900,Panvel,2
4651,13100000,900,Panvel,2
4652,13100000,2700,Panvel,4
4657,3800000,600,Panvel,1
4658,6800000,700,Panvel,1
4662,4700000,675,Panvel,1
4663,8844000,675,Panvel,1
4664,15400000,1051,Panvel,2
4670,6600000,550,Panvel,1
4673,8400000,755,Panvel,1
4676,11500000,742,Panvel,1
4679,17000000,993,Panvel,1
4682,15200000,2420,Panvel,4
4686,13000000,755,Panvel,1
4690,11500000,742,Panvel,1
4692,3185000,993,Panvel,1
4694,8287000,530,Panvel,1
4696,13000000,1220,Panvel,2
4701,8500000,705,Panvel,1
4702,12500000,1055,Panvel,1
4703,16900000,1140,Panvel,2
4706,2750000,428,Panvel,1
4707,2684000,394,Panvel,1
4708,2882000,385,Panvel,1
4709,4000000,415,Panvel,1
4711,8975000,430,Panvel,2
4712,8599000,460,Panvel,2
4713,9618000,440,Panvel,2
4714,7600000,493,Panvel,2
4715,4500000,800,Panvel,1
4716,9800000,705,Panvel,1
4718,8800000,850,Panvel,2
4719,8975000,430,Panvel,2
4720,8599000,460,Panvel,2
4721,9618000,440,Panvel,2
4723,3110000,755,Panvel,1
4725,11500000,858,Panvel,2
4728,17000000,1307,Panvel,2
4729,3185000,742,Panvel,1
4732,15700000,993,Panvel,1
4733,15200000,2621,Panvel,4
4734,8287000,490,Panvel,1
4736,16200000,2420,Panvel,4
4747,2900000,565,Panvel,1
4749,8800000,565,Panvel,1
4750,20000000,1055,Panvel,2
4755,22000000,1020,Panvel,2
4756,13000000,1075,Panvel,2
4760,15200000,1005,Panvel,2
4761,11500000,950,Panvel,2
4762,16900000,1150,Panvel,2
4764,8500000,530,Panvel,1
4766,10000000,750,Panvel,2
4767,10200000,950,Panvel,2
4769,14000000,1200,Panvel,2
4771,5250000,1300,Panvel,1
4772,3900000,1200,Panvel,1
4773,4100000,650,Panvel,1
4775,16500000,1010,Panvel,1
4778,19800000,1110,Panvel,2
4779,35900000,1320,Parel,2
4780,33100000,1320,Parel,2
4781,15500000,600,Parel,1
4782,92500000,2670,Parel,5
4783,4700000,1200,Parel,2
4784,4700000,1200,Parel,2
4785,47900000,1177,Parel,3
4786,36100000,1043,Parel,3
4787,37400000,1404,Parel,3
4788,65500000,2605,Parel,4
4789,36800000,1543,Parel,3
4790,65500000,2604,Parel,4
4791,60500000,1835,Parel,3
4794,22500000,1043,Parel,3
4795,36800000,1177,Parel,3
4796,8500000,823,Parel,2
4797,4000000,825,Parel,2
4798,13500000,940,Parel,2
4799,16500000,940,Parel,2
4800,36800000,823,Parel,2
4801,12300000,940,Parel,2
4803,21700000,825,Parel,2
4805,3100000,510,Parel,1
4806,3250000,510,Parel,1
4807,62500000,2110,Powai,3
4808,62500000,2110,Powai,3
4814,9500000,595,Powai,1
4815,11000000,595,Powai,1
4816,19000000,585,Powai,1
4818,26500000,1050,Powai,2
4824,9000000,585,Powai,1
4825,16500000,578,Powai,1
4827,51000000,2050,Powai,4
4833,8900000,750,Powai,1
4834,10000000,650,Powai,1
4835,10000000,600,Powai,1
4836,16500000,585,Powai,1
4837,27500000,1500,Powai,3
4849,27000000,1502,Powai,3
4857,15900000,650,Powai,1
4860,9500000,500,Powai,1
4862,19500000,660,Powai,1
4864,2800000,700,Powai,1
4865,26500000,735,Powai,2
4866,34600000,1094,Powai,3
4867,33400000,1020,Powai,3
4868,22200000,928,Powai,3
4869,27300000,772,Powai,2
4871,36900000,1023,Powai,3
4873,23700000,970,Powai,3
4879,21500000,630,Powai,1
4882,25000000,1070,Powai,2
4888,9600000,600,Powai,1
4894,17500000,602,Powai,1
4901,8900000,555,Powai,1
4904,17500000,650,Powai,1
4905,26000000,1000,Powai,1
4906,22000000,1300,Powai,3
4908,28500000,1000,Powai,2
4911,26500000,1000,Powai,1
4917,17500000,602,Powai,1
4924,18000000,555,Powai,1
4929,7600000,310,Powai,1
4930,25500000,970,Powai,2
4933,26500000,735,Powai,2
4934,34600000,1094,Powai,3
4935,34600000,1020,Powai,3
4936,33400000,928,Powai,3
4937,22200000,772,Powai,2
4939,27900000,1023,Powai,3
4940,36900000,1023,Powai,3
4941,18000000,997,Powai,3
4952,17000000,1250,Sanpada,2
4953,51500000,3465,Sanpada,4
4957,6448999,600,Sanpada,1
4958,40000000,1500,Sanpada,3
4960,7250000,950,Sanpada,2
4961,19000000,750,Sanpada,1
4962,14500000,1400,Sanpada,2
4964,24600000,1215,Sanpada,3
4965,21500000,851,Sanpada,2
4966,11000000,900,Sanpada,2
4967,19500000,910,Sanpada,2
4970,18000000,1215,Sanpada,3
4971,22000000,1215,Sanpada,3
4972,16500000,600,Sanpada,1
4973,7900000,1435,Sanpada,2
4974,31500000,1650,Sanpada,3
4975,9200000,1313,Sanpada,2
4976,25000000,1600,Sanpada,3
4977,60000000,5500,Santacruz East,4
4979,9000000,350,Santacruz East,1
4981,7500000,350,Santacruz East,1
4983,25000000,550,Santacruz East,1
4985,12500000,350,Santacruz East,1
4986,5300000,350,Santacruz East,1
4987,36100000,1000,Santacruz East,3
4988,12000000,650,Santacruz East,1
4989,17000000,450,Santacruz East,1
4990,38500000,747,Santacruz East,1
4991,16000000,550,Santacruz East,1
4992,5950000,550,Santacruz East,1
4993,32500000,1200,Santacruz West,2
4994,32799999,780,Santacruz West,2
4995,32799999,780,Santacruz West,2
4996,52500000,1144,Santacruz West,3
4997,65000000,3500,Santacruz West,5
4998,26000000,1440,Santacruz West,3
4999,23600000,900,Santacruz West,2
5000,30000000,960,Santacruz West,2
5001,17100000,1150,Seawoods,2
5002,17100000,1100,Seawoods,2
5003,17100000,1100,Seawoods,2
5004,14000000,900,Seawoods,2
5005,5300000,600,Seawoods,1
5006,18900000,1205,Seawoods,2
5007,19100000,1250,Seawoods,1
5008,21700000,1205,Seawoods,1
5009,19200000,1250,Seawoods,1
5010,19200000,1205,Seawoods,1
5011,21500000,1205,Seawoods,1
5012,19000000,1300,Seawoods,1
5013,7500000,1205,Seawoods,1
5014,21000000,1425,Seawoods,1
5016,8500000,1092,Seawoods,1
5018,9100000,1205,Seawoods,1
5020,49500000,2500,Seawoods,4
5022,19200000,1125,Seawoods,1
5024,14400000,1351,Seawoods,3
5031,15500000,1055,Seawoods,2
5034,22500000,1650,Seawoods,3
5037,9200000,1150,Sector 17 Ulwe,2
5038,5300000,690,Sector 17 Ulwe,1
5039,11000000,1230,Sector 17 Ulwe,2
5040,4500000,599,Sector 17 Ulwe,1
5041,16800000,1665,Sector 17 Ulwe,3
5042,16299999,1640,Sector 17 Ulwe,3
5043,15500000,1650,Sector 17 Ulwe,3
5044,11000000,1230,Sector 17 Ulwe,2
5045,4500000,599,Sector 17 Ulwe,1
5046,16800000,1665,Sector 17 Ulwe,3
5047,16299999,1640,Sector 17 Ulwe,3
5048,15500000,1650,Sector 17 Ulwe,3
5049,7500000,890,Sector 17 Ulwe,2
5050,5500000,650,Sector 17 Ulwe,1
5051,7400000,890,Sector 17 Ulwe,2
5052,2700000,350,Sector 17 Ulwe,1
5053,5200000,667,Sector 17 Ulwe,1
5054,5200000,667,Sector 17 Ulwe,1
5056,4900000,665,Sector 17 Ulwe,1
5058,3800000,655,Sector 17 Ulwe,1
5059,3500000,655,Sector 17 Ulwe,1
5060,16000000,1350,Sector 17 Ulwe,2
5061,16000000,1350,Sector 17 Ulwe,2
5062,4400000,665,Sector 17 Ulwe,1
5063,10500000,1245,Sector 17 Ulwe,2
5064,10500000,1245,Sector 17 Ulwe,2
5066,6350000,600,Sector 17 Ulwe,2
5068,6350000,600,Sector 17 Ulwe,2
5069,8655000,680,Sector 17 Ulwe,1
5071,9500000,1260,Sector 19 Kharghar,2
5072,7200000,1055,Sector 19 Kharghar,2
5073,7600000,1100,Sector 19 Kharghar,2
5074,13500000,1340,Sector 19 Kharghar,2
5075,6000000,850,Sector 19 Kharghar,1
5076,5600000,635,Sector 19 Kharghar,1
5077,10000000,1098,Sector 19 Kharghar,2
5078,6500000,675,Sector 19 Kharghar,1
5079,10000000,1098,Sector 19 Kharghar,2
5080,5000000,600,Sector 20 Kharghar,1
5083,5000000,650,Sector 20 Kharghar,1
5084,6500000,650,Sector 20 Kharghar,1
5085,5600000,610,Sector 20 Kharghar,1
5086,5500000,640,Sector 20 Kharghar,1
5087,13000000,1300,Sector 20 Kharghar,2
5088,5300000,560,Sector 20 Kharghar,1
5089,11100000,1117,Sector 20 Kharghar,2
5090,11000000,1100,Sector 20 Kharghar,2
5091,13000000,1300,Sector 20 Kharghar,2
5092,5500000,640,Sector 20 Kharghar,1
5094,11100000,1117,Sector 20 Kharghar,2
5095,13000000,1300,Sector 20 Kharghar,2
5096,5300000,560,Sector 20 Kharghar,1
5097,11100000,1117,Sector 20 Kharghar,2
5098,11000000,1100,Sector 20 Kharghar,2
5100,11100000,1117,Sector 20 Kharghar,2
5103,5000000,650,Sector-18 Ulwe,1
5104,6000000,687,Sector-18 Ulwe,1
5105,9200000,1515,Sector-18 Ulwe,3
5106,8900000,1655,Sector-18 Ulwe,3
5107,9500000,1150,Sector-18 Ulwe,2
5108,12000000,1100,Sector-18 Ulwe,2
5109,8500000,1470,Sector-18 Ulwe,3
5110,5000000,1129,Sector-18 Ulwe,2
5111,14500000,1180,Sector-18 Ulwe,2
5112,27500000,3000,Sector-3 Ulwe,4
5113,13799999,1440,Sector-3 Ulwe,2
5114,27500000,3000,Sector-3 Ulwe,4
5115,13799999,1440,Sector-3 Ulwe,2
5116,7800000,1055,Sector-3 Ulwe,2
5117,5100000,710,Sector-3 Ulwe,1
5118,9000000,1220,Sector-3 Ulwe,2
5119,11000000,1220,Sector-3 Ulwe,2
5120,10800000,1260,Sector12 Kamothe,2
5121,8500000,1150,Sector12 Kamothe,2
5122,8500000,1165,Sector12 Kamothe,2
5124,9200000,1180,Sector12 Kamothe,2
5125,8500000,1150,Sector12 Kamothe,2
5126,8500000,1165,Sector12 Kamothe,2
5128,9200000,1180,Sector12 Kamothe,2
5129,7000000,995,Sector12 Kamothe,2
5130,16000000,1700,Sector12 Kamothe,3
5131,6000000,610,Sector9 Kamothe,1
5132,15000000,1735,Sector9 Kamothe,3
5133,8800000,980,Sector9 Kamothe,2
5134,16500000,1654,Sector9 Kamothe,3
5135,6000000,610,Sector9 Kamothe,1
5136,15000000,1735,Sector9 Kamothe,3
5137,8800000,980,Sector9 Kamothe,2
5138,16500000,1654,Sector9 Kamothe,3
5139,11299999,1165,Sector9 Kamothe,2
5140,11299999,1165,Sector9 Kamothe,2
5141,90000000,5642,Sion,6
5142,90000000,5642,Sion,6
5143,12100000,1080,Sion,2
5144,12100000,1080,Sion,2
5145,4000000,980,Sion,2
5146,13700000,880,Sion,2
5147,8600000,980,Sion,2
5148,20299999,961,Sion,2
5149,11900000,826,Sion,2
5154,4000000,750,Taloja,1
5155,2500000,450,Taloja,1
5156,2300000,410,Taloja,1
5158,3800000,738,Taloja,1
5161,3500000,680,Taloja,1
5162,3300000,710,Taloja,1
5163,4000000,690,Taloja,1
5164,3500000,715,Taloja,1
5165,3350000,700,Taloja,1
5166,2650000,670,Taloja,1
5167,2300000,560,Taloja,1
5168,2600000,445,Taloja,1
5169,5700000,560,Taloja,1
5175,3700000,665,Taloja,1
5176,2300000,680,Taloja,1
5179,3500000,680,Taloja,1
5180,3300000,710,Taloja,1
5181,14000000,690,Taloja,1
5182,4500000,695,Taloja,1
5184,6300000,695,Taloja,1
5187,6300000,695,Taloja,1
5189,4800000,650,Taloja,1
5190,2600000,510,Taloja,1
5191,2400000,520,Taloja,1
5192,2200000,490,Taloja,1
5194,2300000,690,Taloja,1
5195,3750000,445,Taloja,1
5196,5600000,671,Taloja,1
5198,4000000,450,Taloja,1
5200,3000000,738,Taloja,1
5201,4300000,510,Taloja,1
5202,5500000,546,Taloja,1
5203,3900000,570,Taloja,1
5204,4000000,560,Taloja,1
5207,10000000,700,Taloja,1
5208,6500000,660,Taloja,1
5209,5500000,650,Taloja,1
5211,8000000,500,Taloja,1
5212,15500000,1150,Taloja,2
5213,13400000,1500,Taloja,3
5214,3700000,665,Taloja,1
5215,3350000,650,Taloja,1
5216,2178000,650,Taloja,1
5217,10800000,649,Taloja,1
5218,10800000,1520,Taloja,3
5219,8800000,1055,Taloja,2
5220,2330000,500,Taloja,1
5221,4600000,650,Taloja,1
5222,23500000,1063,Thakur Village,2
5223,24500000,1050,Thakur Village,2
5224,25000000,1250,Thakur Village,2
5227,23500000,1063,Thakur Village,2
5228,24500000,1050,Thakur Village,2
5229,25000000,1250,Thakur Village,2
5231,8000000,650,Thakur Village,1
5234,5700000,516,Thane,1
5235,8500000,507,Thane,1
5236,6600000,550,Thane,2
5237,6900000,565,Thane,2
5238,6800000,547,Thane,2
5239,6700000,556,Thane,2
5241,5300000,600,Thane,2
5242,3000000,600,Thane,1
5245,5300000,600,Thane,2
5246,3000000,600,Thane,1
5248,3000000,275,Thane,1
5249,2000000,275,Thane,1
5250,2000000,275,Thane,1
5251,2000000,275,Thane,1
5252,2000000,275,Thane,1
5253,3000000,275,Thane,1
5254,2000000,275,Thane,1
5255,2000000,275,Thane,1
5256,2000000,275,Thane,1
5257,2000000,275,Thane,1
5258,2000000,275,Thane,1
5259,2000000,275,Thane,1
5260,2000000,275,Thane,1
5261,3000000,275,Thane,1
5262,2000000,275,Thane,1
5263,3000000,530,Thane,1
5264,90000000,5245,Thane West,5
5268,6400000,509,Thane West,1
5270,6990000,473,Thane West,1
5271,8000000,640,Thane West,1
5272,7200000,657,Thane West,1
5273,7500000,550,Thane West,1
5275,7500000,560,Thane West,1
5276,28400000,1733,Thane West,3
5277,28400000,1733,Thane West,4
5279,24500000,1650,Thane West,3
5280,6000000,575,Thane West,1
5282,16800000,880,Thane West,2
5283,16000000,740,Thane West,1
5285,7500000,650,Thane West,1
5286,17000000,550,Thane West,1
5287,19400000,936,Thane West,2
5291,11000000,700,Thane West,1
5292,7600000,550,Thane West,1
5293,7600000,550,Thane West,1
5294,7500000,545,Thane West,1
5295,20000000,995,Thane West,2
5296,20000000,995,Thane West,2
5305,11900000,831,Thane West,2
5318,11900000,831,Thane West,2
5324,16500000,1065,Thane West,2
5329,29400000,920,Thane West,2
5330,12900000,575,Thane West,1
5334,18500000,625,Thane West,1
5335,8330000,700,Thane West,1
5343,18800000,945,Thane West,2
5344,15500000,981,Thane West,2
5345,14900000,915,Thane West,2
5346,14800000,883,Thane West,2
5347,15700000,879,Thane West,2
5348,15500000,928,Thane West,2
5349,13500000,919,Thane West,2
5350,20000000,800,Thane West,2
5356,7000000,735,Thane West,1
5357,7300000,540,Thane West,1
5358,15500000,570,Thane West,1
5362,10000000,847,Thane West,1
5365,11000000,520,Thane West,1
5369,12700000,685,Thane West,1
5374,12700000,685,Thane West,1
5377,3000000,683,Thane West,1
5378,6100000,350,Thane West,1
5381,6500000,588,Thane West,1
5385,5599000,615,Thane West,1
5388,9000000,645,Thane West,1
5390,22500000,1100,Thane West,2
5391,5700000,239,Thane West,1
5392,6351000,283,Thane West,1
5393,6900000,352,Thane West,1
5394,9800000,400,Thane West,2
5395,18500000,958,Thane West,3
5397,12800000,419,Thane West,1
5398,13500000,705,Thane West,2
5400,5700000,239,Thane West,1
5401,6351000,283,Thane West,1
5402,6900000,352,Thane West,1
5406,7320000,749,Thane West,1
5407,13100000,746,Thane West,1
5409,21700000,1140,Thane West,2
5414,20000000,1350,Thane West,3
5417,17700000,1166,Thane West,2
5421,18800000,1158,Thane West,2
5423,17500000,928,Thane West,2
5425,7200000,558,Thane West,1
5426,11900000,676,Thane West,2
5427,20800000,1020,Thane West,3
5428,20800000,1214,Thane West,3
5429,33000000,1639,Thane West,3
5434,15000000,500,Thane West,1
5438,14800000,676,Thane West,2
5439,13600000,880,Thane West,3
5441,25500000,1625,Thane West,4
5442,25000000,1245,Thane West,3
5444,19200000,711,Thane West,2
5445,21500000,863,Thane West,3
5446,16000000,1012,Thane West,3
5447,20200000,731,Thane West,2
5448,21400000,969,Thane West,3
5449,16500000,990,Thane West,3
5451,8000000,632,Thane West,1
5452,10900000,400,Thane West,1
5455,6900000,486,Thane West,1
5456,14800000,1000,Thane West,2
5458,13500000,784,Thane West,2
5463,26500000,1020,Thane West,2
5466,26900000,1044,Thane West,3
5474,26800000,1461,Thane West,3
5478,26400000,1083,Thane West,2
5479,3120000,520,Thane West,1
5482,5760000,610,Thane West,1
5483,2174000,590,Thane West,1
5486,25000000,2000,Thane West,4
5487,19000000,1100,Thane West,2
5488,14000000,910,Thane West,1
5490,8600000,600,Thane West,1
5493,23200000,1160,Thane West,2
5494,12100000,550,Thane West,1
5496,9300000,675,Thane West,1
5497,5500000,500,Thane West,1
5498,5500000,500,Thane West,1
5499,6400000,480,Thane West,1
5500,13000000,550,Thane West,1
5501,15500000,713,Thane West,2
5502,14000000,828,Thane West,2
5503,15800000,811,Thane West,2
5504,22000000,848,Thane West,2
5506,10000000,698,Thane West,2
5507,12000000,520,Thane West,1
5512,9500000,750,Thane West,1
5514,5000000,750,Thane West,1
5515,30000000,1730,Thane West,3
5519,7700000,480,Thane West,1
5521,21000000,687,Thane West,2
5523,13000000,746,Thane West,2
5524,15500000,713,Thane West,2
5525,14000000,828,Thane West,2
5526,15800000,811,Thane West,2
5527,22000000,848,Thane West,2
5529,16299999,698,Thane West,2
5530,8000000,620,Thane West,1
5531,6500000,720,Thane West,1
5532,7000000,610,Thane West,1
5533,9200000,710,Thane West,1
5534,5000000,700,Thane West,1
5535,14500000,675,Thane West,1
5537,3250000,425,Thane West,1
5541,6700000,750,Thane West,1
5544,7800000,650,Thane West,1
5546,2640000,324,Thane West,1
5547,3900000,324,Thane West,1
5548,2050000,324,Thane West,1
5549,12800000,500,Thane West,1
5550,21000000,687,Thane West,2
5552,13000000,746,Thane West,2
5553,15500000,713,Thane West,2
5554,14000000,828,Thane West,2
5555,15800000,811,Thane West,2
5556,22000000,848,Thane West,2
5559,6800000,664,Thane West,1
5562,4500000,560,Thane West,1
5563,4250000,560,Thane West,1
5564,4400000,560,Thane West,1
5565,4400000,560,Thane West,1
5566,4250000,560,Thane West,1
5567,4500000,560,Thane West,1
5568,4300000,561,Thane West,1
5569,4500000,560,Thane West,1
5570,4280000,561,Thane West,1
5571,4300000,560,Thane West,1
5572,4400000,564,Thane West,1
5573,4300000,560,Thane West,1
5574,2750000,560,Thane West,1
5575,2800000,324,Thane West,1
5576,2850000,324,Thane West,1
5577,2780000,324,Thane West,1
5578,2875000,324,Thane West,1
5579,2850000,324,Thane West,1
5580,2875000,324,Thane West,1
5581,2600000,324,Thane West,1
5582,2800000,324,Thane West,1
5583,2800000,324,Thane West,1
5584,3100000,324,Thane West,1
5585,3000000,324,Thane West,1
5586,2900000,384,Thane West,1
5587,5900000,324,Thane West,1
5588,2600000,324,Thane West,1
5589,2600000,324,Thane West,1
5590,2940000,324,Thane West,1
5591,2600000,324,Thane West,1
5592,5500000,324,Thane West,1
5593,11800000,450,Thane West,1
5596,10000000,472,Thane West,1
5600,21000000,687,Thane West,2
5602,13000000,746,Thane West,2
5603,15500000,713,Thane West,2
5604,14000000,828,Thane West,2
5605,15800000,811,Thane West,2
5606,22000000,848,Thane West,2
5608,16600000,698,Thane West,2
5609,16600000,685,Thane West,2
5610,18100000,1091,Thane West,3
5611,12600000,762,Thane West,2
5612,14500000,519,Thane West,2
5616,17700000,641,Thane West,2
5617,13000000,676,Thane West,2
5618,12100000,616,Thane West,2
5619,15800000,984,Thane West,3
5620,22000000,880,Thane West,3
5621,25000000,765,Thane West,2
5622,4000000,324,Thane West,1
5623,14500000,684,Thane West,2
5626,17500000,838,Thane West,2
5627,16600000,1167,Thane West,3
5630,15500000,600,Thane West,1
5632,11500000,670,Thane West,1
5633,12100000,641,Thane West,2
5634,15800000,676,Thane West,2
5635,10500000,725,Thane West,2
5636,10700000,676,Thane West,2
5642,17500000,625,Thane West,1
5643,19000000,905,Thane West,2
5644,6800000,550,Thane West,1
5645,17500000,650,Thane West,1
5650,16500000,940,Thane West,2
5651,18500000,1010,Thane West,3
5654,26100000,901,Thane West,2
5655,14000000,901,Thane West,2
5656,15800000,676,Thane West,2
5658,16600000,725,Thane West,2
5659,16600000,907,Thane West,2
5660,18100000,880,Thane West,3
5661,12600000,616,Thane West,2
5667,2900000,550,Thane West,1
5669,10200000,650,Thane West,1
5670,26000000,850,Thane West,2
5672,21300000,990,Thane West,3
5673,17000000,590,Thane West,1
5678,17800000,1150,Thane West,3
5690,15500000,687,Thane West,2
5691,14000000,808,Thane West,2
5693,22000000,746,Thane West,2
5694,13000000,713,Thane West,2
5696,26800000,848,Thane West,2
5698,20299999,698,Thane West,2
5699,19500000,1753,Thane West,4
5701,16600000,598,Thane West,2
5702,16600000,991,Thane West,3
5703,18100000,944,Thane West,3
5704,12600000,632,Thane West,2
5706,21700000,706,Thane West,2
5707,33100000,1091,Thane West,3
5708,21800000,762,Thane West,2
5709,5990000,645,Thane West,1
5710,4199000,615,Thane West,1
5712,19500000,902,Thane West,2
5713,16500000,902,Thane West,2
5714,18000000,902,Thane West,2
5715,16500000,625,Thane West,1
5717,16600000,676,Thane West,2
